mojo_title,criticscore,criticcount,audiencescore,audiencecount
Housefull 4,92,30,8.5,446
3 from Hell,62,11,6.8,54
Gone with the Wind,50,5,5.2,26
Faustina: Love and Mercy,97,18,8.5,192
The White Crow,tbd,4,7.8,4
Promare,61,29,6.1,13
Better Days,77,8,10,2125
Arctic,40,38,6.1,52
The Art of Self-Defense,71,32,6.9,72
Instant Family,65,32,6.5,75
Shoplifters,57,28,7.3,107
Everybody Knows,93,40,8.4,184
Tod@s Caen,68,38,7.1,52
Fantastic Beasts: The Crimes of Grindelwald,Link error,Link error,Link error,Link error
Saaho,52,48,5.7,689
Friends 25th: The One With The Anniversary,Link error,Link error,Link error,Link error
Bharat,73,41,7.5,63
Simmba,Link error,Link error,Link error,Link error
Creed II,46,7,5.2,64
Echo in the Canyon,66,45,7.0,221
BTS World Tour: Love Yourself in Seoul,55,31,5.6,67
Ne Zha,Link error,Link error,Link error,Link error
Pain and Glory,54,5,8.7,18
Replicas,87,43,8.0,117
Uri: The Surgical Strike,50,4,No score yet,N/A
Amazing Grace,77,17,8.8,10
The Grinch,65,29,8.1,57
The Biggest Little Farm,51,32,6.2,145
Maiden,73,27,7.5,19
Brian Banks,82,25,8.0,21
Menteur,58,17,6.0,9
War,90,45,7.9,169
The Last Black Man in San Francisco,36,15,8.4,175
The Oscar Nominated Short Films 2019: Documentary,83,39,7.2,65
Pavarotti,48,37,5.6,59
The Sun Is also a Star,66,21,7.8,12
Bring the Soul: The Movie,52,25,5.7,20
The Mustang,tbd,4,10,5
Don't Let Go,77,36,6.7,34
Gully Boy,40,41,6.7,80
Arctic Dogs,79,40,6.7,58
The Wandering Earth,28,4,3.8,17
Captive State,57,8,5.5,69
The Current War: Director's Cut,54,19,5.5,75
Run the Race,83,25,8.2,96
The Dead Don't Die,39,11,4.1,43
Brittany Runs a Marathon,60,47,5.4,108
Penguins,72,33,6.2,40
Anna,69,18,7.4,18
Serenity,42,7,6.7,22
Stan & Ollie,74,34,8.3,789
"Where'd You Go, Bernadette",88,34,8.3,100
Motherless Brooklyn,Link error,Link error,Link error,Link error
Holmes & Watson,60,36,7.3,107
Black Christmas,62,33,7.7,174
The Best of Enemies,22,17,4.7,178
Greta,49,25,6.6,30
Dark Waters,54,42,6.1,78
The Lighthouse,73,38,7.9,99
Blinded by the Light,58,5,No score yet,N/A
After,71,44,6.7,84
The Kitchen,25,8,No score yet,N/A
They Shall Not Grow Old,tbd,4,No score yet,N/A
If Beale Street Could Talk,91,26,8.6,80
Poms,87,53,7.1,149
A Star Is Born,36,17,6.1,16
The Prodigy,88,60,8.4,1539
Miss Bala,45,18,5.6,48
Late Night,79,24,6.9,24
Second Act,70,46,6.1,74
Missing Link,46,27,5.9,47
The Kid Who Would Be King,68,30,7.0,84
The Good Liar,66,34,6.2,64
Brightburn,55,31,5.5,58
Charlie's Angels,89,47,8.3,219
Bombshell,68,45,7.5,161
The Favourite,64,46,6.2,161
Unplanned,91,53,7.7,469
Cats,10,7,9.5,1574
UglyDolls,32,51,5.4,518
The Peanut Butter Falcon,39,20,4.7,37
Jojo Rabbit,70,28,7.7,126
Shaft,58,57,7.8,663
Hellboy,50,33,8.1,83
Black and Blue,72,37,8.5,595
47 Meters Down: Uncaged,54,23,5.7,40
Stuber,43,17,5.2,61
Parasite,42,37,6.0,87
Booksmart,96,52,8.9,1486
A Dog's Journey,84,52,4.8,565
Fighting with My Family,59,40,6.4,55
Ralph Breaks the Internet,68,38,7.2,119
Judy,71,43,6.5,457
Uncut Gems,66,46,6.7,124
Countdown,91,56,7.1,576
The Art of Racing in the Rain,31,16,5.1,62
Bohemian Rhapsody,43,31,7.5,43
Midsommar,49,50,7.7,1076
21 Bridges,72,54,6.4,571
Vice,51,32,6.1,71
Happy Death Day 2U,Link error,Link error,Link error,Link error
Ready or Not,57,31,6.2,162
Child's Play,64,38,6.8,208
Long Shot,54,22,6.9,82
Dragon Ball Super: Broly,Link error,Link error,Link error,Link error
Doctor Sleep,Link error,Link error,Link error,Link error
Cold Pursuit,59,46,7.1,424
Overcomer,57,39,6.1,133
Last Christmas,17,5,6.9,45
The Hustle,50,40,5.9,95
The Intruder,35,28,3.9,88
Little Women,85,13,4.8,12
Crawl,87,23,7.6,69
The Mule,60,31,6.2,157
Breakthrough,57,6,3.8,8
Queen & Slim,46,17,6.5,43
The Angry Birds Movie 2,49,37,5.0,32
A Dog's Way Home,60,23,6.8,64
Playing with Fire,66,41,7.1,159
Rambo: Last Blood,Link error,Link error,Link error,Link error
